analysis_timestamp,lad19cd,ex_prob
2020-07-13T09:28:36Z,E06000001,0.52
2020-07-13T09:28:36Z,E06000002,0.478
2020-07-13T09:28:36Z,E06000003,0.478
2020-07-13T09:28:36Z,E06000004,0.391
2020-07-13T09:28:36Z,E06000005,0.438
2020-07-13T09:28:36Z,E06000006,0.264
2020-07-13T09:28:36Z,E06000007,0.34
2020-07-13T09:28:36Z,E06000008,0.315
2020-07-13T09:28:36Z,E06000009,0.516
2020-07-13T09:28:36Z,E06000010,0.385
2020-07-13T09:28:36Z,E06000011,0.399
2020-07-13T09:28:36Z,E06000012,0.167
2020-07-13T09:28:36Z,E06000013,0.362
2020-07-13T09:28:36Z,E06000014,0.435
2020-07-13T09:28:36Z,E06000015,0.226
2020-07-13T09:28:36Z,E06000016,0.141
2020-07-13T09:28:36Z,E06000017,0.124
2020-07-13T09:28:36Z,E06000018,0.239
2020-07-13T09:28:36Z,E06000019,0.357
2020-07-13T09:28:36Z,E06000020,0.294
2020-07-13T09:28:36Z,E06000021,0.228
2020-07-13T09:28:36Z,E06000022,0.158
2020-07-13T09:28:36Z,E06000023,0.3
2020-07-13T09:28:36Z,E06000024,0.385
2020-07-13T09:28:36Z,E06000025,0.261
2020-07-13T09:28:36Z,E06000026,0.297
2020-07-13T09:28:36Z,E06000027,0.174
2020-07-13T09:28:36Z,E06000030,0.417
2020-07-13T09:28:36Z,E06000031,0.363
2020-07-13T09:28:36Z,E06000032,0.301
2020-07-13T09:28:36Z,E06000033,0.377
2020-07-13T09:28:36Z,E06000034,0.289
2020-07-13T09:28:36Z,E06000035,0.337
2020-07-13T09:28:36Z,E06000036,0.243
2020-07-13T09:28:36Z,E06000037,0.289
2020-07-13T09:28:36Z,E06000038,0.381
2020-07-13T09:28:36Z,E06000039,0.33
2020-07-13T09:28:36Z,E06000040,0.134
2020-07-13T09:28:36Z,E06000041,0.27
2020-07-13T09:28:36Z,E06000042,0.171
2020-07-13T09:28:36Z,E06000043,0.302
2020-07-13T09:28:36Z,E06000044,0.231
2020-07-13T09:28:36Z,E06000045,0.33
2020-07-13T09:28:36Z,E06000046,0.447
2020-07-13T09:28:36Z,E06000047,0.438
2020-07-13T09:28:36Z,E06000049,0.39
2020-07-13T09:28:36Z,E06000050,0.325
2020-07-13T09:28:36Z,E06000051,0.364
2020-07-13T09:28:36Z,"E06000052,E06000053",0.095
2020-07-13T09:28:36Z,E06000054,0.312
2020-07-13T09:28:36Z,E06000055,0.268
2020-07-13T09:28:36Z,E06000056,0.305
2020-07-13T09:28:36Z,E06000057,0.393
2020-07-13T09:28:36Z,E06000058,0.239
2020-07-13T09:28:36Z,E06000059,0.122
2020-07-13T09:28:36Z,E07000004,0.309
2020-07-13T09:28:36Z,E07000005,0.254
2020-07-13T09:28:36Z,E07000006,0.145
2020-07-13T09:28:36Z,E07000007,0.184
2020-07-13T09:28:36Z,E07000008,0.287
2020-07-13T09:28:36Z,E07000009,0.261
2020-07-13T09:28:36Z,E07000010,0.405
2020-07-13T09:28:36Z,E07000011,0.448
2020-07-13T09:28:36Z,E07000012,0.23
2020-07-13T09:28:36Z,E07000026,0.13
2020-07-13T09:28:36Z,E07000027,0.419
2020-07-13T09:28:36Z,E07000028,0.109
2020-07-13T09:28:36Z,E07000029,0.208
2020-07-13T09:28:36Z,E07000030,0.101
2020-07-13T09:28:36Z,E07000031,0.33
2020-07-13T09:28:36Z,E07000032,0.233
2020-07-13T09:28:36Z,E07000033,0.117
2020-07-13T09:28:36Z,E07000034,0.182
2020-07-13T09:28:36Z,E07000035,0.136
2020-07-13T09:28:36Z,E07000036,0.269
2020-07-13T09:28:36Z,E07000037,0.348
2020-07-13T09:28:36Z,E07000038,0.213
2020-07-13T09:28:36Z,E07000039,0.272
2020-07-13T09:28:36Z,E07000040,0.144
2020-07-13T09:28:36Z,E07000041,0.18
2020-07-13T09:28:36Z,E07000042,0.346
2020-07-13T09:28:36Z,E07000043,0.24
2020-07-13T09:28:36Z,E07000044,0.29
2020-07-13T09:28:36Z,E07000045,0.129
2020-07-13T09:28:36Z,E07000046,0.253
2020-07-13T09:28:36Z,E07000047,0.24
2020-07-13T09:28:36Z,E07000061,0.284
2020-07-13T09:28:36Z,E07000062,0.173
2020-07-13T09:28:36Z,E07000063,0.35
2020-07-13T09:28:36Z,E07000064,0.143
2020-07-13T09:28:36Z,E07000065,0.236
2020-07-13T09:28:36Z,E07000066,0.34
2020-07-13T09:28:36Z,E07000067,0.365
2020-07-13T09:28:36Z,E07000068,0.236
2020-07-13T09:28:36Z,E07000069,0.255
2020-07-13T09:28:36Z,E07000070,0.424
2020-07-13T09:28:36Z,E07000071,0.348
2020-07-13T09:28:36Z,E07000072,0.294
2020-07-13T09:28:36Z,E07000073,0.258
2020-07-13T09:28:36Z,E07000074,0.279
2020-07-13T09:28:36Z,E07000075,0.326
2020-07-13T09:28:36Z,E07000076,0.438
2020-07-13T09:28:36Z,E07000077,0.294
2020-07-13T09:28:36Z,E07000078,0.266
2020-07-13T09:28:36Z,E07000079,0.199
2020-07-13T09:28:36Z,E07000080,0.225
2020-07-13T09:28:36Z,E07000081,0.341
2020-07-13T09:28:36Z,E07000082,0.247
2020-07-13T09:28:36Z,E07000083,0.249
2020-07-13T09:28:36Z,E07000084,0.462
2020-07-13T09:28:36Z,E07000085,0.379
2020-07-13T09:28:36Z,E07000086,0.324
2020-07-13T09:28:36Z,E07000087,0.244
2020-07-13T09:28:36Z,E07000088,0.352
2020-07-13T09:28:36Z,E07000089,0.284
2020-07-13T09:28:36Z,E07000090,0.296
2020-07-13T09:28:36Z,E07000091,0.291
2020-07-13T09:28:36Z,E07000092,0.434
2020-07-13T09:28:36Z,E07000093,0.314
2020-07-13T09:28:36Z,E07000094,0.31
2020-07-13T09:28:36Z,E07000095,0.179
2020-07-13T09:28:36Z,E07000096,0.252
2020-07-13T09:28:36Z,E07000098,0.297
2020-07-13T09:28:36Z,E07000099,0.222
2020-07-13T09:28:36Z,E07000102,0.287
2020-07-13T09:28:36Z,E07000103,0.377
2020-07-13T09:28:36Z,E07000105,0.28
2020-07-13T09:28:36Z,E07000106,0.241
2020-07-13T09:28:36Z,E07000107,0.278
2020-07-13T09:28:36Z,E07000108,0.303
2020-07-13T09:28:36Z,E07000109,0.308
2020-07-13T09:28:36Z,E07000110,0.255
2020-07-13T09:28:36Z,E07000111,0.189
2020-07-13T09:28:36Z,E07000112,0.153
2020-07-13T09:28:36Z,E07000113,0.342
2020-07-13T09:28:36Z,E07000114,0.299
2020-07-13T09:28:36Z,E07000115,0.153
2020-07-13T09:28:36Z,E07000116,0.332
2020-07-13T09:28:36Z,E07000117,0.342
2020-07-13T09:28:36Z,E07000118,0.434
2020-07-13T09:28:36Z,E07000119,0.413
2020-07-13T09:28:36Z,E07000120,0.318
2020-07-13T09:28:36Z,E07000121,0.398
2020-07-13T09:28:36Z,E07000122,0.36
2020-07-13T09:28:36Z,E07000123,0.355
2020-07-13T09:28:36Z,E07000124,0.267
2020-07-13T09:28:36Z,E07000125,0.32
2020-07-13T09:28:36Z,E07000126,0.333
2020-07-13T09:28:36Z,E07000127,0.416
2020-07-13T09:28:36Z,E07000128,0.47
2020-07-13T09:28:36Z,E07000129,0.129
2020-07-13T09:28:36Z,E07000130,0.156
2020-07-13T09:28:36Z,E07000131,0.114
2020-07-13T09:28:36Z,E07000132,0.153
2020-07-13T09:28:36Z,E07000133,0.116
2020-07-13T09:28:36Z,E07000134,0.093
2020-07-13T09:28:36Z,E07000135,0.131
2020-07-13T09:28:36Z,E07000136,0.337
2020-07-13T09:28:36Z,E07000137,0.161
2020-07-13T09:28:36Z,E07000138,0.194
2020-07-13T09:28:36Z,E07000139,0.161
2020-07-13T09:28:36Z,E07000140,0.435
2020-07-13T09:28:36Z,E07000141,0.235
2020-07-13T09:28:36Z,E07000142,0.155
2020-07-13T09:28:36Z,E07000143,0.386
2020-07-13T09:28:36Z,E07000144,0.451
2020-07-13T09:28:36Z,E07000145,0.434
2020-07-13T09:28:36Z,E07000146,0.459
2020-07-13T09:28:36Z,E07000147,0.291
2020-07-13T09:28:36Z,E07000148,0.366
2020-07-13T09:28:36Z,E07000149,0.347
2020-07-13T09:28:36Z,E07000150,0.273
2020-07-13T09:28:36Z,E07000151,0.105
2020-07-13T09:28:36Z,E07000152,0.189
2020-07-13T09:28:36Z,E07000153,0.31
2020-07-13T09:28:36Z,E07000154,0.196
2020-07-13T09:28:36Z,E07000155,0.1
2020-07-13T09:28:36Z,E07000156,0.201
2020-07-13T09:28:36Z,E07000163,0.24
2020-07-13T09:28:36Z,E07000164,0.31
2020-07-13T09:28:36Z,E07000165,0.368
2020-07-13T09:28:36Z,E07000166,0.33
2020-07-13T09:28:36Z,E07000167,0.419
2020-07-13T09:28:36Z,E07000168,0.476
2020-07-13T09:28:36Z,E07000169,0.254
2020-07-13T09:28:36Z,E07000170,0.273
2020-07-13T09:28:36Z,E07000171,0.36
2020-07-13T09:28:36Z,E07000172,0.218
2020-07-13T09:28:36Z,E07000173,0.247
2020-07-13T09:28:36Z,E07000174,0.187
2020-07-13T09:28:36Z,E07000175,0.164
2020-07-13T09:28:36Z,E07000176,0.146
