lad19cd,ex_prob
E06000001,0.5278
E06000002,0.9988
E06000003,0
E06000004,0.1338
E06000005,0.1484
E06000006,0.7968
E06000007,0.9868
E06000008,0.9247
E06000009,0.7033
E06000010,0.0424
E06000011,0.0494
E06000012,0.0894
E06000013,0.0841
E06000014,0.6407
E06000015,0.9289
E06000016,0.9816
E06000017,0.4738
E06000018,0.3168
E06000019,0.515
E06000020,0.1191
E06000021,0.981
E06000022,0.0697
E06000023,0.5632
E06000024,0.6367
E06000025,0.5186
E06000026,0.0874
E06000027,0.2288
E06000030,0.9866
E06000031,0.8861
E06000032,0.9739
E06000033,0.2057
E06000034,0.4408
E06000035,0.0918
E06000036,0
E06000037,0.0255
E06000038,0.3847
E06000039,0.9392
E06000040,0.594
E06000041,0.4169
E06000042,0.9139
E06000043,0.3161
E06000044,0.2953
E06000045,0.5762
E06000046,0.3803
E06000047,0.0982
E06000049,0.5616
E06000050,0.3875
E06000051,0.0478
"E06000052,E06000053",0.245
E06000054,0.1667
E06000055,0.7479
E06000056,0.269
E06000057,0.0765
E06000058,0.397
E06000059,0.1395
E07000004,0.1799
E07000005,0.5033
E07000006,0.7437
E07000007,0.428
E07000008,0.7928
E07000009,0.1667
E07000010,0.4881
E07000011,0.5794
E07000012,0.1162
E07000026,0.7102
E07000027,0
E07000028,0.9879
E07000029,0.966
E07000030,0.7095
E07000031,0.0779
E07000032,0.294
E07000033,0.0598
E07000034,0.6866
E07000035,0.0979
E07000036,0.5361
E07000037,0.4204
E07000038,0.939
E07000039,0.6817
E07000040,0.0911
E07000041,0.1167
E07000042,0
E07000043,0
E07000044,0.4746
E07000045,0
E07000046,0.207
E07000047,0.2481
E07000061,0.5202
E07000062,0
E07000063,0.2877
E07000064,0.7478
E07000065,0.0326
E07000066,0.0478
E07000067,0.2551
E07000068,0.511
E07000069,0.5382
E07000070,0.3487
E07000071,0.1473
E07000072,0.9235
E07000073,0.3094
E07000074,0.3718
E07000075,0
E07000076,0.3242
E07000077,0.0862
E07000078,0.2356
E07000079,0.3961
E07000080,0
E07000081,0.9679
E07000082,0.2482
E07000083,0.8663
E07000084,0.1057
