lad19cd,ex_prob
E06000001,0.9939
E06000002,0.9613
E06000003,0.9388
E06000004,0.9822
E06000005,0.838
E06000006,0.9992
E06000007,0.9625
E06000008,0.9999
E06000009,0.9754
E06000010,0.297
E06000011,0.5218
E06000012,0.3545
E06000013,0.7935
E06000014,0.8675
E06000015,0.7785
E06000016,0.961
E06000017,0.3472
E06000018,0.7107
E06000019,0.101
E06000020,0.6799
E06000021,0.8346
E06000022,0.4359
E06000023,0.445
E06000024,0.8841
E06000025,0.2248
E06000026,0.4068
E06000027,0.3039
E06000030,0.0875
E06000031,0.4881
E06000032,0.974
E06000033,0.5178
E06000034,0.2592
E06000035,0.1961
E06000036,0.1553
E06000037,0.4017
E06000038,0.1703
E06000039,0.7413
E06000040,0.1955
E06000041,0.1572
E06000042,0.5683
E06000043,0.0461
E06000044,0.4955
E06000045,0.3067
E06000046,0.021
E06000047,0.9423
E06000049,0.7378
E06000050,0.8548
E06000051,0.645
"E06000052,E06000053",0.3828
E06000054,0.0585
E06000055,0.9186
E06000056,0.5439
E06000057,0.9944
E06000058,0.5528
E06000059,0.008
E07000004,0.4146
E07000005,0.3181
E07000006,0.3199
E07000007,0.6897
E07000008,0.1455
E07000009,0.012
E07000010,0.1523
E07000011,0.1594
E07000012,0.2329
E07000026,0.8298
E07000027,0.9341
E07000028,0.5598
E07000029,0.3919
E07000030,0.5132
E07000031,0.3642
E07000032,0.9402
E07000033,0.8269
E07000034,0.3997
E07000035,0.7837
E07000036,0.8951
E07000037,0.7801
E07000038,0.5231
E07000039,0.9272
E07000040,0.0531
E07000041,0.6264
E07000042,0.009
E07000043,0.0054
E07000044,0.1671
E07000045,0.0159
E07000046,0.0172
E07000047,0.0039
E07000061,0.1826
E07000062,0.3416
E07000063,0.0392
E07000064,0.1513
E07000065,0.0276
E07000066,0.4369
E07000067,0.1103
E07000068,0.8125
E07000069,0.8429
E07000070,0.2022
E07000071,0.4828
E07000072,0.9641
E07000073,0.9095
E07000074,0.2755
E07000075,0.6032
E07000076,0.1621
E07000077,0.7577
E07000078,0.2526
E07000079,0.0097
E07000080,0.2379
E07000081,0.7934
E07000082,0.6132
E07000083,0.0405
E07000084,0.3077
E07000085,0.1905
E07000086,0.0131
E07000087,0.337
E07000088,0.1638
E07000089,0.199
E07000090,0.45
E07000091,0.2018
E07000092,0.48
E07000093,0.3977
E07000094,0.085
E07000095,0.9807
E07000096,0.4161
E07000098,0.9117
E07000099,0.2804
E07000102,0.7912
E07000103,0.7231
E07000105,0.2929
E07000106,0.2682
E07000107,0.1735
E07000108,0.0266
E07000109,0.7608
E07000110,0.142
E07000111,0.1199
E07000112,0.0282
E07000113,0.1434
E07000114,0.0354
E07000115,0.514
E07000116,0.5008
E07000117,0.9943
E07000118,0.888
E07000119,0.912
E07000120,0.9995
E07000121,0.8502
E07000122,0.9987
E07000123,0.9902
E07000124,0.586
E07000125,0.9919
E07000126,0.6489
E07000127,0.9852
E07000128,0.7893
E07000129,0.8254
E07000130,0.8719
E07000131,0.6302
E07000132,0.6172
E07000133,0.1018
E07000134,0.3446
E07000135,0.9141
E07000136,0.1987
E07000137,0.3689
E07000138,0.9116
E07000139,0.4138
E07000140,0.0168
E07000141,0.4309
E07000142,0.8749
E07000143,0.2173
E07000144,0.2382
E07000145,0.6944
E07000146,0.4106
E07000147,0.0019
E07000148,0.5731
E07000149,0.265
E07000150,0.8868
E07000151,0.2439
E07000152,0.3212
E07000153,0.2784
E07000154,0.4887
E07000155,0.1843
E07000156,0.5431
E07000163,0.9348
E07000164,0.6914
E07000165,0.7043
E07000166,0.6198
E07000167,0.1675
E07000168,0.6955
E07000169,0.9025
E07000170,0.7564
E07000171,0.2882
E07000172,0.7932
E07000173,0.3151
E07000174,0.9369
E07000175,0.9514
E07000176,0.7275
E07000177,0.3429
E07000178,0.6778
E07000179,0.09
E07000180,0.2014
E07000181,0.1745
E07000187,0.1429
E07000188,0.1131
E07000189,0.0242
E07000192,0.6675
E07000193,0.7325
E07000194,0.855
E07000195,0.5891
E07000196,0.8073
E07000197,0.9215
E07000198,0.7811
E07000199,0.503
E07000200,0.0596
E07000202,0.1357
E07000203,0.1004
E07000207,0.3529
E07000208,0.6982
E07000209,0.0317
E07000210,0.0204
E07000211,0.2502
E07000212,0.5164
E07000213,0.1824
E07000214,0.5374
E07000215,0.347
E07000216,0.399
E07000217,0.5582
E07000218,0.4227
E07000219,0.9003
E07000220,0.9063
E07000221,0.4601
E07000222,0.2755
E07000223,0.485
E07000224,0.4469
E07000225,0.1057
E07000226,0.0142
E07000227,0.4593
E07000228,0.0533
E07000229,0.8882
E07000234,0.2266
E07000235,0.1328
E07000236,0.3183
E07000237,0.7588
E07000238,0.4637
E07000239,0.8933
E07000240,0.6628
E07000241,0.3492
E07000242,0.7175
E07000243,0.5393
E07000244,0.0051
E07000245,0.3287
E07000246,0.0564
E08000001,0.9846
E08000002,0.9993
E08000003,0.9818
E08000004,0.9961
E08000005,0.9944
E08000006,0.9759
E08000007,0.9782
E08000008,0.9877
E08000009,0.7797
E08000010,0.9943
E08000011,0.9975
E08000012,0.9576
E08000013,0.9736
E08000014,0.9916
E08000015,0.9873
E08000016,0.7572
E08000017,0.958
E08000018,0.8633
E08000019,0.7464
E08000021,0.9953
E08000022,0.9884
E08000023,0.9998
E08000024,0.9914
E08000025,0.7982
E08000026,0.9114
E08000027,0.8116
E08000028,0.9771
E08000029,0.7653
E08000030,0.9674
E08000031,0.9195
E08000032,0.9548
E08000033,0.9013
E08000034,0.8824
E08000035,0.8279
E08000036,0.7336
E08000037,0.9897
"E09000001,E09000033",0.007
E09000002,0.9067
E09000003,0.5942
E09000004,0.801
E09000005,0.7416
E09000006,0.3804
E09000007,0.2404
E09000008,0.3899
E09000009,0.622
E09000010,0.6817
E09000011,0.2028
E09000012,0.531
E09000013,0.2308
E09000014,0.7338
E09000015,0.7987
E09000016,0.7367
E09000017,0.8034
E09000018,0.5162
E09000019,0.5399
E09000020,0.4286
E09000021,0.4196
E09000022,0.4227
E09000023,0.5609
E09000024,0.1322
E09000025,0.8686
E09000026,0.9493
E09000027,0.2179
E09000028,0.7037
E09000029,0.2823
E09000030,0.6585
E09000031,0.7036
E09000032,0.392
