analysis_timestamp,lad19cd,ex_prob
2020-07-06T16:24:08Z,E06000001,0.434
2020-07-06T16:24:08Z,E06000002,0.456
2020-07-06T16:24:08Z,E06000003,0.478
2020-07-06T16:24:08Z,E06000004,0.427
2020-07-06T16:24:08Z,E06000005,0.474
2020-07-06T16:24:08Z,E06000006,0.354
2020-07-06T16:24:08Z,E06000007,0.329
2020-07-06T16:24:08Z,E06000008,0.198
2020-07-06T16:24:08Z,E06000009,0.3
2020-07-06T16:24:08Z,E06000010,0.508
2020-07-06T16:24:08Z,E06000011,0.535
2020-07-06T16:24:08Z,E06000012,0.159
2020-07-06T16:24:08Z,E06000013,0.371
2020-07-06T16:24:08Z,E06000014,0.411
2020-07-06T16:24:08Z,E06000015,0.305
2020-07-06T16:24:08Z,E06000016,0.118
2020-07-06T16:24:08Z,E06000017,0.099
2020-07-06T16:24:08Z,E06000018,0.238
2020-07-06T16:24:08Z,E06000019,0.45
2020-07-06T16:24:08Z,E06000020,0.239
2020-07-06T16:24:08Z,E06000021,0.248
2020-07-06T16:24:08Z,E06000022,0.157
2020-07-06T16:24:08Z,E06000023,0.27
2020-07-06T16:24:08Z,E06000024,0.5
2020-07-06T16:24:08Z,E06000025,0.302
2020-07-06T16:24:08Z,E06000026,0.317
2020-07-06T16:24:08Z,E06000027,0.288
2020-07-06T16:24:08Z,E06000030,0.348
2020-07-06T16:24:08Z,E06000031,0.294
2020-07-06T16:24:08Z,E06000032,0.4
2020-07-06T16:24:08Z,E06000033,0.222
2020-07-06T16:24:08Z,E06000034,0.239
2020-07-06T16:24:08Z,E06000035,0.356
2020-07-06T16:24:08Z,E06000036,0.305
2020-07-06T16:24:08Z,E06000037,0.304
2020-07-06T16:24:08Z,E06000038,0.411
2020-07-06T16:24:08Z,E06000039,0.292
2020-07-06T16:24:08Z,E06000040,0.162
2020-07-06T16:24:08Z,E06000041,0.347
2020-07-06T16:24:08Z,E06000042,0.203
2020-07-06T16:24:08Z,E06000043,0.308
2020-07-06T16:24:08Z,E06000044,0.274
2020-07-06T16:24:08Z,E06000045,0.448
2020-07-06T16:24:08Z,E06000046,0.456
2020-07-06T16:24:08Z,E06000047,0.516
2020-07-06T16:24:08Z,E06000049,0.253
2020-07-06T16:24:08Z,E06000050,0.321
2020-07-06T16:24:08Z,E06000051,0.263
2020-07-06T16:24:08Z,"E06000052,E06000053",0.093
2020-07-06T16:24:08Z,E06000054,0.311
2020-07-06T16:24:08Z,E06000055,0.24
2020-07-06T16:24:08Z,E06000056,0.319
2020-07-06T16:24:08Z,E06000057,0.428
2020-07-06T16:24:08Z,E06000058,0.203
2020-07-06T16:24:08Z,E06000059,0.125
2020-07-06T16:24:08Z,E07000004,0.43
2020-07-06T16:24:08Z,E07000005,0.258
2020-07-06T16:24:08Z,E07000006,0.163
2020-07-06T16:24:08Z,E07000007,0.207
2020-07-06T16:24:08Z,E07000008,0.168
2020-07-06T16:24:08Z,E07000009,0.152
2020-07-06T16:24:08Z,E07000010,0.271
2020-07-06T16:24:08Z,E07000011,0.301
2020-07-06T16:24:08Z,E07000012,0.143
2020-07-06T16:24:08Z,E07000026,0.337
2020-07-06T16:24:08Z,E07000027,0.467
2020-07-06T16:24:08Z,E07000028,0.429
2020-07-06T16:24:08Z,E07000029,0.388
2020-07-06T16:24:08Z,E07000030,0.369
2020-07-06T16:24:08Z,E07000031,0.342
2020-07-06T16:24:08Z,E07000032,0.264
2020-07-06T16:24:08Z,E07000033,0.169
2020-07-06T16:24:08Z,E07000034,0.243
2020-07-06T16:24:08Z,E07000035,0.153
2020-07-06T16:24:08Z,E07000036,0.273
2020-07-06T16:24:08Z,E07000037,0.236
2020-07-06T16:24:08Z,E07000038,0.237
2020-07-06T16:24:08Z,E07000039,0.269
2020-07-06T16:24:08Z,E07000040,0.18
2020-07-06T16:24:08Z,E07000041,0.253
2020-07-06T16:24:08Z,E07000042,0.323
2020-07-06T16:24:08Z,E07000043,0.251
2020-07-06T16:24:08Z,E07000044,0.342
2020-07-06T16:24:08Z,E07000045,0.233
2020-07-06T16:24:08Z,E07000046,0.239
2020-07-06T16:24:08Z,E07000047,0.261
2020-07-06T16:24:08Z,E07000061,0.256
2020-07-06T16:24:08Z,E07000062,0.194
2020-07-06T16:24:08Z,E07000063,0.307
2020-07-06T16:24:08Z,E07000064,0.173
2020-07-06T16:24:08Z,E07000065,0.266
2020-07-06T16:24:08Z,E07000066,0.239
2020-07-06T16:24:08Z,E07000067,0.334
2020-07-06T16:24:08Z,E07000068,0.126
2020-07-06T16:24:08Z,E07000069,0.207
2020-07-06T16:24:08Z,E07000070,0.312
2020-07-06T16:24:08Z,E07000071,0.446
2020-07-06T16:24:08Z,E07000072,0.343
2020-07-06T16:24:08Z,E07000073,0.36
2020-07-06T16:24:08Z,E07000074,0.242
2020-07-06T16:24:08Z,E07000075,0.222
2020-07-06T16:24:08Z,E07000076,0.525
2020-07-06T16:24:08Z,E07000077,0.273
2020-07-06T16:24:08Z,E07000078,0.348
2020-07-06T16:24:08Z,E07000079,0.185
2020-07-06T16:24:08Z,E07000080,0.292
2020-07-06T16:24:08Z,E07000081,0.416
2020-07-06T16:24:08Z,E07000082,0.26
2020-07-06T16:24:08Z,E07000083,0.294
2020-07-06T16:24:08Z,E07000084,0.502
2020-07-06T16:24:08Z,E07000085,0.417
2020-07-06T16:24:08Z,E07000086,0.417
2020-07-06T16:24:08Z,E07000087,0.305
2020-07-06T16:24:08Z,E07000088,0.362
2020-07-06T16:24:08Z,E07000089,0.374
2020-07-06T16:24:08Z,E07000090,0.336
2020-07-06T16:24:08Z,E07000091,0.293
2020-07-06T16:24:08Z,E07000092,0.5
2020-07-06T16:24:08Z,E07000093,0.396
2020-07-06T16:24:08Z,E07000094,0.416
2020-07-06T16:24:08Z,E07000095,0.206
2020-07-06T16:24:08Z,E07000096,0.27
2020-07-06T16:24:08Z,E07000098,0.305
2020-07-06T16:24:08Z,E07000099,0.264
2020-07-06T16:24:08Z,E07000102,0.343
2020-07-06T16:24:08Z,E07000103,0.394
2020-07-06T16:24:08Z,E07000105,0.324
2020-07-06T16:24:08Z,E07000106,0.266
2020-07-06T16:24:08Z,E07000107,0.388
2020-07-06T16:24:08Z,E07000108,0.323
2020-07-06T16:24:08Z,E07000109,0.437
2020-07-06T16:24:08Z,E07000110,0.265
2020-07-06T16:24:08Z,E07000111,0.244
2020-07-06T16:24:08Z,E07000112,0.331
