lad19cd,ex_prob
E06000001,0.8402
E06000002,0.0784
E06000003,0.5891
E06000004,0.8077
E06000005,0.7897
E06000006,0.2812
E06000007,0.4279
E06000008,0.9842
E06000009,0.6813
E06000010,0.5753
E06000011,0.0879
E06000012,0
E06000013,0.3898
E06000014,0.6788
E06000015,0.6338
E06000016,0.763
E06000017,0.2602
E06000018,0.3195
E06000019,1
E06000020,0.9282
E06000021,0.5764
E06000022,0.5295
E06000023,0.2533
E06000024,0.4729
E06000025,0.2055
E06000026,0.053900000000000003
E06000027,0.2763
E06000030,0.3197
E06000031,0.9525
E06000032,0.9986
E06000033,0.863
E06000034,0.843
E06000035,0.6698
E06000036,0.9043
E06000037,0.3553
E06000038,0.9364
E06000039,0.9195
E06000040,0.9708
E06000041,0.9083
E06000042,0.3985
E06000043,0.9666
E06000044,0.6675
E06000045,0.8584
E06000046,0.4689
E06000047,0.6848
E06000049,0.4891
E06000050,0.8993
E06000051,0.5029
"E06000052,E06000053",0.2038
E06000054,0.7288
E06000055,0.6413
E06000056,0.684
E06000057,0.0671
E06000058,0.3121
E06000059,0.3463
E07000004,0.2111
E07000005,0.6889
E07000006,0.5939
E07000007,0.1471
E07000008,0.4607
E07000009,0.4574
E07000010,0.6682
E07000011,0.4756
E07000012,0.6598
E07000026,0.2493
E07000027,0
E07000028,0.5519
E07000029,0
E07000030,0.2904
E07000031,0.5722
E07000032,0.8769
E07000033,0.6249
E07000034,0.8307
E07000035,0
E07000036,0.5314
E07000037,0.2542
E07000038,0.2513
E07000039,0.3697
E07000040,0.3576
E07000041,0.798
E07000042,0.3184
E07000043,0
E07000044,0
E07000045,0.7833
E07000046,0.8716
E07000047,0
E07000061,0.9495
E07000062,0.4483
E07000063,0.9452
E07000064,0.6569
E07000065,0.9062
E07000066,0.5116
E07000067,1
E07000068,0.6149
E07000069,0.5305
E07000070,0.1195
E07000071,0.3788
E07000072,0.9187
E07000073,0.3461
E07000074,0.5697
E07000075,0.2942
E07000076,0.4332
E07000077,0.665
E07000078,0.7233
E07000079,0.3139
E07000080,0.1189
E07000081,0.1982
E07000082,0.4589
E07000083,0
E07000084,0.3184
E07000085,0.7026
E07000086,0.7417
E07000087,0.5652
E07000088,0.4142
E07000089,0.2121
E07000090,0.6786
E07000091,0.5404
E07000092,0.4169
E07000093,0.5709
E07000094,0.5584
E07000095,0.9243
E07000096,0.7345
E07000098,0.4601
E07000099,0.3504
E07000102,0.0325
E07000103,0.0696
E07000105,0.8267
E07000106,0.9402
E07000107,0.9564
E07000108,0.47
E07000109,0.9775
E07000110,0.1882
E07000111,0.9588
E07000112,0.549
E07000113,0.8535
E07000114,0.6803
E07000115,0.2544
E07000116,0.9995
E07000117,0.821
E07000118,0.5959
E07000119,0.9
E07000120,0.6168
E07000121,0.2731
E07000122,0.9859
E07000123,0.6898
E07000124,0.0643
E07000125,0.841
E07000126,0.211
E07000127,0.2886
E07000128,0.347
E07000129,0.0124
E07000130,0.4092
E07000131,0.049
E07000132,0.259
E07000133,0.4249
E07000134,0.1874
E07000135,0.3227
E07000136,0
E07000137,0.417
E07000138,0.1433
E07000139,0
E07000140,0.3361
E07000141,0.229
E07000142,0.9479
E07000143,0
E07000144,0.296
E07000145,0
E07000146,0.3708
E07000147,0.528
E07000148,0.7586
E07000149,0.633
E07000150,0.8583
E07000151,0.1407
E07000152,0.4303
E07000153,0.9587
E07000154,0.8413
E07000155,0.7577
E07000156,0.6987
E07000163,0.0551
E07000164,0.3495
E07000165,0.8035
E07000166,0.4699
E07000167,0
E07000168,0
E07000169,0.5592
E07000170,0.6987
E07000171,0.7422
E07000172,0.4988
E07000173,0.1262
E07000174,0
E07000175,0.6836
E07000176,0.7551
E07000177,0.6137
E07000178,0.6874
E07000179,0.5792
E07000180,0.7447
E07000181,0.8864
E07000187,0.2587
E07000188,0.3695
E07000189,0.3731
E07000192,0.446
E07000193,0.9997
E07000194,0.4909
E07000195,0.5276
E07000196,0.7591
E07000197,0.4157
E07000198,0.4898
E07000199,0.389
E07000200,0.5088
E07000202,0.7953
E07000203,0
E07000207,0.933
E07000208,0.9745
E07000209,0.6301
E07000210,0.3563
E07000211,0.7464
E07000212,0.5227
E07000213,0.3456
E07000214,0.3848
E07000215,0.3735
E07000216,0.2352
E07000217,0.59
E07000218,0.1062
E07000219,0.6664
E07000220,0.9113
E07000221,0.9089
E07000222,0.3453
E07000223,0.7506
E07000224,0.8816
E07000225,0.8292
E07000226,0.203
E07000227,0.884
E07000228,0.6323
E07000229,0.9418
E07000234,0.8263
E07000235,0.4636
E07000236,0
E07000237,0.4599
E07000238,0.5179
E07000239,0
E07000240,0.1232
E07000241,0.6509
E07000242,0.0931
E07000243,0
E07000244,0.2476
E07000245,0.4499
E07000246,0.5681
E08000001,0.3129
E08000002,0.1494
E08000003,0.7768
E08000004,0.5999
E08000005,0.6736
E08000006,0.8465
E08000007,0.421
E08000008,0.8004
E08000009,0.5868
E08000010,0.4913
E08000011,0.3003
E08000012,0.3404
E08000013,0.4784
E08000014,0.9013
E08000015,0.0607
E08000016,0.6221
E08000017,0.6092
E08000018,0.979
E08000019,0.9292
E08000021,0.7784
E08000022,0.6813
E08000023,0.8105
E08000024,0.6484
E08000025,0.7564
E08000026,0.206
E08000027,0.4129
E08000028,0.9969
E08000029,0.9686
E08000030,0.9919
E08000031,0.7905
E08000032,0.7865
E08000033,0.9725
E08000034,0.7907
E08000035,0.8536
E08000036,0.9054
E08000037,0.5288
"E09000001,E09000033",0.4188
E09000002,0.9266
E09000003,0.9168
E09000004,0.8458
E09000005,0.2328
E09000006,0.6326
E09000007,0.3866
E09000008,0.0516
E09000009,0.5469
E09000010,0.3736
E09000011,0.5491
E09000012,0.8405
E09000013,0.2433
E09000014,0.6657
E09000015,0.7109
E09000016,0.8008
E09000017,0.3863
E09000018,0.8598
E09000019,0.3616
E09000020,0.3429
E09000021,0.3837
E09000022,0.2223
E09000023,0.9719
E09000024,0.5241
E09000025,0.9702
E09000026,0.8641
E09000027,0.2576
E09000028,0.5022
E09000029,0.914
E09000030,0.7251
E09000031,0.8446
E09000032,0.6035
